name,usd_buy,usd_sell,euro_buy,euro_sell
Банк «Открытие»,89.5,92.5,98.5,102.5
Юнистрим,90.5,93.3,100.3,102.8
Банк Интеза,79.0,95.0,89.0,105.0
Альфа-Банк,88.0,93.0,97.0,102.0
Газпромбанк,88.0,91.1,97.9,101.3
МТС Банк,88.0,93.0,98.0,103.0
СберБанк,88.1,92.7,97.0,102.1
Кубань Кредит,88.5,93.5,98.5,103.5
Русский Стандарт,89.5,95.5,99.5,105.0
Банк ВТБ,89.75,93.75,98.5,102.5
Тинькофф Банк,90.05,92.95,99.05,102.1
СМП Банк,90.1,95.1,100.41,105.41
Промсвязьбанк,90.13,91.93,99.74,101.54
БКС Банк,90.2,91.19,100.3,101.29
Банк Финам,90.4,92.25,100.01,105.0
Росбанк,90.4,96.8,100.1,107.7
Совкомбанк,90.4,92.3,99.95,101.55
Райффайзенбанк,90.8,94.0,90.9,105.4
